Machine 2 log started at 2025-03-05 19:42:31.954780
Clock rate: 6 ticks per second
2025-03-05 19:42:58 | INTERNAL | Clock: 191 | Internal event
2025-03-05 19:42:58 | SEND | Clock: 192 | Sent to machine 3
2025-03-05 19:42:58 | INTERNAL | Clock: 193 | Internal event
2025-03-05 19:42:58 | INTERNAL | Clock: 194 | Internal event
2025-03-05 19:42:58 | INTERNAL | Clock: 195 | Internal event
2025-03-05 19:42:59 | SEND | Clock: 196 | Sent to machine 1
2025-03-05 19:42:59 | RECEIVE | Clock: 199 | Message clock: 198, Queue length: 0
2025-03-05 19:42:59 | RECEIVE | Clock: 200 | Message clock: 199, Queue length: 0
2025-03-05 19:42:59 | RECEIVE | Clock: 202 | Message clock: 201, Queue length: 0
2025-03-05 19:42:59 | INTERNAL | Clock: 203 | Internal event
2025-03-05 19:42:59 | RECEIVE | Clock: 205 | Message clock: 204, Queue length: 0
2025-03-05 19:43:00 | INTERNAL | Clock: 206 | Internal event
2025-03-05 19:43:00 | INTERNAL | Clock: 207 | Internal event
2025-03-05 19:43:00 | RECEIVE | Clock: 208 | Message clock: 206, Queue length: 0
2025-03-05 19:43:00 | INTERNAL | Clock: 209 | Internal event
2025-03-05 19:43:00 | INTERNAL | Clock: 210 | Internal event
2025-03-05 19:43:00 | SEND | Clock: 211 | Sent to machine 1
2025-03-05 19:43:00 | SEND | Clock: 212 | Sent to machine 3
2025-03-05 19:43:01 | INTERNAL | Clock: 213 | Internal event
2025-03-05 19:43:01 | INTERNAL | Clock: 214 | Internal event
2025-03-05 19:43:01 | RECEIVE | Clock: 215 | Message clock: 214, Queue length: 0
2025-03-05 19:43:01 | INTERNAL | Clock: 216 | Internal event
2025-03-05 19:43:01 | INTERNAL | Clock: 217 | Internal event
2025-03-05 19:43:01 | SEND | Clock: 218 | Sent to machine 3
2025-03-05 19:43:02 | INTERNAL | Clock: 219 | Internal event
2025-03-05 19:43:02 | INTERNAL | Clock: 220 | Internal event
2025-03-05 19:43:02 | INTERNAL | Clock: 221 | Internal event
2025-03-05 19:43:02 | RECEIVE | Clock: 224 | Message clock: 223, Queue length: 0
