Machine 3 log started at 2025-03-05 12:46:03.415987
Clock rate: 3.25 ticks per second
2025-03-05 12:47:15 | INTERNAL | Clock: 313 | Internal event
2025-03-05 12:47:16 | INTERNAL | Clock: 314 | Internal event
2025-03-05 12:47:16 | RECEIVE | Clock: 317 | Message clock: 316, Queue length: 0
2025-03-05 12:47:16 | SEND | Clock: 318 | Sent to machine 1
2025-03-05 12:47:16 | INTERNAL | Clock: 319 | Internal event
2025-03-05 12:47:17 | SEND | Clock: 320 | Sent to machine 2
2025-03-05 12:47:17 | RECEIVE | Clock: 324 | Message clock: 323, Queue length: 0
2025-03-05 12:47:17 | RECEIVE | Clock: 326 | Message clock: 325, Queue length: 0
2025-03-05 12:47:18 | RECEIVE | Clock: 328 | Message clock: 327, Queue length: 0
2025-03-05 12:47:18 | INTERNAL | Clock: 329 | Internal event
2025-03-05 12:47:18 | INTERNAL | Clock: 330 | Internal event
2025-03-05 12:47:19 | RECEIVE | Clock: 331 | Message clock: 330, Queue length: 1
2025-03-05 12:47:19 | RECEIVE | Clock: 332 | Message clock: 331, Queue length: 0
2025-03-05 12:47:19 | INTERNAL | Clock: 333 | Internal event
2025-03-05 12:47:20 | RECEIVE | Clock: 334 | Message clock: 333, Queue length: 0
2025-03-05 12:47:20 | RECEIVE | Clock: 335 | Message clock: 334, Queue length: 1
2025-03-05 12:47:20 | RECEIVE | Clock: 337 | Message clock: 336, Queue length: 0
2025-03-05 12:47:21 | RECEIVE | Clock: 338 | Message clock: 337, Queue length: 0
2025-03-05 12:47:21 | INTERNAL | Clock: 339 | Internal event
2025-03-05 12:47:21 | SEND | Clock: 340 | Sent to machine 1
2025-03-05 12:47:21 | SEND | Clock: 341 | Sent to machine 2
2025-03-05 12:47:21 | INTERNAL | Clock: 342 | Internal event
2025-03-05 12:47:22 | SEND | Clock: 343 | Sent to machine 1
2025-03-05 12:47:22 | SEND | Clock: 344 | Sent to machine 2
2025-03-05 12:47:22 | INTERNAL | Clock: 345 | Internal event
2025-03-05 12:47:22 | INTERNAL | Clock: 346 | Internal event
2025-03-05 12:47:23 | SEND | Clock: 347 | Sent to machine 1
2025-03-05 12:47:23 | SEND | Clock: 348 | Sent to machine 2
2025-03-05 12:47:23 | INTERNAL | Clock: 349 | Internal event
2025-03-05 12:47:23 | RECEIVE | Clock: 350 | Message clock: 349, Queue length: 0
2025-03-05 12:47:24 | INTERNAL | Clock: 351 | Internal event
2025-03-05 12:47:24 | SEND | Clock: 352 | Sent to machine 1
2025-03-05 12:47:24 | RECEIVE | Clock: 355 | Message clock: 354, Queue length: 0
2025-03-05 12:47:25 | RECEIVE | Clock: 356 | Message clock: 355, Queue length: 0
2025-03-05 12:47:25 | SEND | Clock: 357 | Sent to machine 1
2025-03-05 12:47:25 | SEND | Clock: 358 | Sent to machine 2
2025-03-05 12:47:25 | INTERNAL | Clock: 359 | Internal event
2025-03-05 12:47:26 | RECEIVE | Clock: 362 | Message clock: 361, Queue length: 0
2025-03-05 12:47:26 | INTERNAL | Clock: 363 | Internal event
2025-03-05 12:47:26 | INTERNAL | Clock: 364 | Internal event
2025-03-05 12:47:26 | RECEIVE | Clock: 365 | Message clock: 363, Queue length: 0
2025-03-05 12:47:27 | INTERNAL | Clock: 366 | Internal event
2025-03-05 12:47:27 | INTERNAL | Clock: 367 | Internal event
2025-03-05 12:47:27 | INTERNAL | Clock: 368 | Internal event
2025-03-05 12:47:28 | SEND | Clock: 369 | Sent to machine 2
2025-03-05 12:47:28 | INTERNAL | Clock: 370 | Internal event
2025-03-05 12:47:28 | RECEIVE | Clock: 371 | Message clock: 369, Queue length: 0
2025-03-05 12:47:29 | RECEIVE | Clock: 372 | Message clock: 370, Queue length: 0
2025-03-05 12:47:29 | INTERNAL | Clock: 373 | Internal event
2025-03-05 12:47:29 | RECEIVE | Clock: 375 | Message clock: 374, Queue length: 0
2025-03-05 12:47:30 | RECEIVE | Clock: 376 | Message clock: 375, Queue length: 1
2025-03-05 12:47:30 | RECEIVE | Clock: 378 | Message clock: 377, Queue length: 0
2025-03-05 12:47:30 | INTERNAL | Clock: 379 | Internal event
2025-03-05 12:47:30 | INTERNAL | Clock: 380 | Internal event
2025-03-05 12:47:31 | RECEIVE | Clock: 383 | Message clock: 382, Queue length: 0
2025-03-05 12:47:31 | INTERNAL | Clock: 384 | Internal event
2025-03-05 12:47:31 | SEND | Clock: 385 | Sent to machine 1
2025-03-05 12:47:32 | INTERNAL | Clock: 386 | Internal event
2025-03-05 12:47:32 | RECEIVE | Clock: 388 | Message clock: 387, Queue length: 0
2025-03-05 12:47:32 | RECEIVE | Clock: 390 | Message clock: 389, Queue length: 0
2025-03-05 12:47:33 | SEND | Clock: 391 | Sent to machine 1
2025-03-05 12:47:33 | SEND | Clock: 392 | Sent to machine 1
2025-03-05 12:47:33 | SEND | Clock: 393 | Sent to machine 2
2025-03-05 12:47:33 | INTERNAL | Clock: 394 | Internal event
2025-03-05 12:47:34 | SEND | Clock: 395 | Sent to machine 1
2025-03-05 12:47:34 | SEND | Clock: 396 | Sent to machine 2
2025-03-05 12:47:34 | INTERNAL | Clock: 397 | Internal event
2025-03-05 12:47:34 | INTERNAL | Clock: 398 | Internal event
2025-03-05 12:47:35 | INTERNAL | Clock: 399 | Internal event
2025-03-05 12:47:35 | SEND | Clock: 400 | Sent to machine 1
2025-03-05 12:47:35 | INTERNAL | Clock: 401 | Internal event
2025-03-05 12:47:35 | SEND | Clock: 402 | Sent to machine 1
2025-03-05 12:47:35 | SEND | Clock: 403 | Sent to machine 2
2025-03-05 12:47:36 | SEND | Clock: 404 | Sent to machine 1
2025-03-05 12:47:36 | SEND | Clock: 405 | Sent to machine 2
2025-03-05 12:47:36 | INTERNAL | Clock: 406 | Internal event
2025-03-05 12:47:36 | SEND | Clock: 407 | Sent to machine 1
2025-03-05 12:47:36 | SEND | Clock: 408 | Sent to machine 2
2025-03-05 12:47:37 | SEND | Clock: 409 | Sent to machine 2
2025-03-05 12:47:37 | RECEIVE | Clock: 411 | Message clock: 410, Queue length: 0
2025-03-05 12:47:37 | SEND | Clock: 412 | Sent to machine 1
2025-03-05 12:47:37 | SEND | Clock: 413 | Sent to machine 2
2025-03-05 12:47:38 | SEND | Clock: 414 | Sent to machine 1
2025-03-05 12:47:38 | INTERNAL | Clock: 415 | Internal event
2025-03-05 12:47:38 | INTERNAL | Clock: 416 | Internal event
2025-03-05 12:47:39 | SEND | Clock: 417 | Sent to machine 2
2025-03-05 12:47:39 | INTERNAL | Clock: 418 | Internal event
2025-03-05 12:47:39 | INTERNAL | Clock: 419 | Internal event
2025-03-05 12:47:40 | INTERNAL | Clock: 420 | Internal event
