Machine 1 log started at 2025-03-05 12:46:02.409909
Clock rate: 3.48 ticks per second
2025-03-05 12:46:38 | INTERNAL | Clock: 151 | Internal event
2025-03-05 12:46:38 | SEND | Clock: 152 | Sent to machine 2
2025-03-05 12:46:38 | SEND | Clock: 153 | Sent to machine 3
2025-03-05 12:46:38 | SEND | Clock: 154 | Sent to machine 2
2025-03-05 12:46:39 | INTERNAL | Clock: 155 | Internal event
2025-03-05 12:46:39 | INTERNAL | Clock: 156 | Internal event
2025-03-05 12:46:39 | INTERNAL | Clock: 157 | Internal event
2025-03-05 12:46:39 | RECEIVE | Clock: 160 | Message clock: 159, Queue length: 0
2025-03-05 12:46:40 | SEND | Clock: 161 | Sent to machine 2
2025-03-05 12:46:40 | SEND | Clock: 162 | Sent to machine 3
2025-03-05 12:46:40 | INTERNAL | Clock: 163 | Internal event
2025-03-05 12:46:40 | INTERNAL | Clock: 164 | Internal event
2025-03-05 12:46:41 | RECEIVE | Clock: 165 | Message clock: 164, Queue length: 0
2025-03-05 12:46:41 | RECEIVE | Clock: 166 | Message clock: 165, Queue length: 0
2025-03-05 12:46:41 | INTERNAL | Clock: 167 | Internal event
2025-03-05 12:46:41 | INTERNAL | Clock: 168 | Internal event
2025-03-05 12:46:42 | INTERNAL | Clock: 169 | Internal event
2025-03-05 12:46:42 | INTERNAL | Clock: 170 | Internal event
2025-03-05 12:46:42 | RECEIVE | Clock: 171 | Message clock: 170, Queue length: 0
2025-03-05 12:46:43 | RECEIVE | Clock: 172 | Message clock: 171, Queue length: 0
2025-03-05 12:46:43 | INTERNAL | Clock: 173 | Internal event
2025-03-05 12:46:43 | SEND | Clock: 174 | Sent to machine 3
2025-03-05 12:46:44 | INTERNAL | Clock: 175 | Internal event
2025-03-05 12:46:44 | RECEIVE | Clock: 178 | Message clock: 177, Queue length: 0
2025-03-05 12:46:44 | RECEIVE | Clock: 179 | Message clock: 178, Queue length: 1
2025-03-05 12:46:44 | RECEIVE | Clock: 180 | Message clock: 179, Queue length: 0
2025-03-05 12:46:45 | SEND | Clock: 181 | Sent to machine 2
2025-03-05 12:46:45 | RECEIVE | Clock: 182 | Message clock: 181, Queue length: 0
2025-03-05 12:46:45 | INTERNAL | Clock: 183 | Internal event
2025-03-05 12:46:46 | RECEIVE | Clock: 186 | Message clock: 185, Queue length: 0
2025-03-05 12:46:46 | INTERNAL | Clock: 187 | Internal event
